Ticker,Mean Daily Return,Daily Volatility,Annual Return,Annual Volatility,Sharpe Ratio,Skewness,Kurtosis,Null Values,Status
AAPL,0.1260%,1.9434%,31.76%,30.85%,1.03,-0.23,5.69,0,✅ Pass
META,0.0979%,2.7059%,24.66%,42.96%,0.57,-1.20,24.41,0,✅ Pass
JPM,0.0699%,1.9270%,17.63%,30.59%,0.58,-0.01,13.53,0,✅ Pass
JNJ,0.0187%,1.2053%,4.71%,19.13%,0.25,0.07,8.11,0,✅ Pass
XOM,0.0468%,2.0323%,11.80%,32.26%,0.37,-0.16,5.30,0,✅ Pass
AMZN,0.0700%,2.1502%,17.65%,34.13%,0.52,-0.14,4.44,0,✅ Pass
PG,0.0501%,1.2760%,12.63%,20.26%,0.62,-0.12,11.56,0,✅ Pass
NEE,0.0442%,1.7921%,11.13%,28.45%,0.39,-0.49,8.99,0,✅ Pass
CAT,0.0791%,1.9971%,19.93%,31.70%,0.63,-0.37,5.05,0,✅ Pass
NVDA,0.2458%,3.2508%,61.93%,51.60%,1.20,0.07,3.74,0,✅ Pass
